efc,soh,capacity_ah,type,temperature_c
0.0,95.87333333333333,2.8762,estimated,25.506
1.0,95.87333333333333,2.8762,estimated,25.3407
2.0,95.87333333333333,2.8762,estimated,27.2647
3.0,95.87333333333333,2.8762,estimated,26.2353
4.0,95.87333333333333,2.8762,estimated,26.2333
5.0,95.87333333333333,2.8762,estimated,25.6433
6.0,95.87333333333333,2.8762,estimated,27.2667
7.0,95.87333333333333,2.8762,estimated,27.23
8.0,95.87333333333333,2.8762,estimated,26.2073
9.0,95.87333333333333,2.8762,estimated,26.978
10.0,95.87333333333333,2.8762,estimated,26.2527
11.0,95.87333333333333,2.8762,estimated,26.0933
12.0,95.87333333333333,2.8762,estimated,25.1287
13.0,95.87333333333333,2.8762,estimated,27.0747
14.0,95.87333333333333,2.8762,estimated,27.1773
15.0,95.87333333333333,2.8762,estimated,26.2527
16.0,95.87333333333333,2.8762,estimated,27.0487
17.0,95.87333333333333,2.8762,estimated,26.4047
18.0,95.87333333333333,2.8762,estimated,26.7033
19.0,95.87333333333333,2.8762,estimated,26.044
20.0,95.87333333333333,2.8762,estimated,25.8633
21.0,95.87333333333333,2.8762,estimated,25.322
22.0,95.87333333333333,2.8762,estimated,27.1113
23.0,95.87333333333333,2.8762,estimated,27.1313
24.0,95.87333333333333,2.8762,estimated,26.4373
25.0,95.87333333333333,2.8762,estimated,27.1247
26.0,95.87333333333333,2.8762,estimated,26.3833
27.0,95.87333333333333,2.8762,estimated,27.0273
28.0,95.87333333333333,2.8762,estimated,26.404
29.0,95.87333333333333,2.8762,estimated,26.434
30.0,95.87333333333333,2.8762,estimated,26.426
31.0,95.87333333333333,2.8762,estimated,25.904
32.0,95.87333333333333,2.8762,estimated,25.282
33.0,95.87333333333333,2.8762,estimated,27.3967
34.0,95.87333333333333,2.8762,estimated,26.9013
35.0,95.87333333333333,2.8762,estimated,26.802
36.0,95.87333333333333,2.8762,estimated,26.9487
37.0,95.87333333333333,2.8762,estimated,26.342
38.0,95.87333333333333,2.8762,estimated,27.388
39.0,95.87333333333333,2.8762,estimated,26.312
