time,state_true,state_pred
0,2.658625,2.658625
5,2.658625,2.658625
10,2.61875,2.61875
15,2.597875,2.597875
20,2.584,2.584
25,2.57625,2.57625
30,2.567125,2.567125
35,2.5615,2.5615
40,2.5615,2.5615
45,2.61,2.61
50,2.582625,2.582625
55,2.55925,2.55925
60,2.5493749999999995,2.5493749999999995
65,2.5416250000000002,2.5416250000000002
70,2.535375,2.535375
75,2.577875,2.577875
80,2.5293749999999995,2.5293749999999995
85,2.52525,2.52525
90,2.521875,2.521875
95,2.5192499999999995,2.5192499999999995
100,2.51625,2.51625
105,2.51475,2.51475
110,2.51175,2.51175
115,2.508375,2.508375
120,2.505,2.505
125,2.503125,2.503125
130,2.501375,2.501375
135,2.5001250000000006,2.5001250000000006
140,2.49825,2.49825
145,2.4955,2.4955
150,2.4935,2.4935
155,2.49225,2.49225
160,2.490875,2.490875
165,2.48775,2.48775
170,2.4875,2.4875
175,2.483875,2.483875
180,2.483875,2.483875
185,2.488583333333333,2.488583333333333
190,2.493291666666667,2.493291666666667
195,2.498,2.498
200,2.487875,2.487875
205,2.481875,2.481875
210,2.478,2.478
215,2.473625,2.473625
220,2.4708750000000004,2.4708750000000004
225,2.46925,2.46925
230,2.4675000000000002,2.4675000000000002
235,2.465125,2.465125
240,2.46325,2.46325
245,2.461125,2.461125
250,2.46025,2.46025
255,2.457625,2.457625
260,2.455625,2.455625
265,2.453875,2.453875
270,2.452375,2.452375
275,2.4515,2.4515
280,2.450375,2.450375
285,2.449,2.449
290,2.448875,2.448875
295,2.446375,2.446375
300,2.4455,2.4455
305,2.443125,2.443125
310,2.441125,2.441125
315,2.440375,2.440375
320,2.44025,2.44025
325,2.4407499999999995,2.4407499999999995
330,2.437625,2.437625
335,2.436666666666667,2.436666666666667
340,2.4357083333333334,2.4357083333333334
345,2.43475,2.43475
350,2.43475,2.43475
355,2.4553125,2.4553125
360,2.475875,2.475875
365,2.4565,2.4565
370,2.44375,2.44375
375,2.438625,2.438625
380,2.433375,2.433375
385,2.430625,2.430625
390,2.4278749999999993,2.4278749999999993
395,2.436875,2.436875
400,2.423375,2.423375
405,2.42225,2.42225
410,2.4259999999999997,2.4259999999999997
415,2.425,2.425
420,2.418125,2.418125
425,2.416625,2.416625
430,2.413375,2.413375
435,2.41525,2.41525
440,2.410875,2.410875
445,2.409625,2.409625
450,2.409375,2.409375
455,2.407375,2.407375
460,2.406125,2.406125
465,2.405625,2.405625
470,2.404875,2.404875
475,2.403375,2.403375
480,2.40125,2.40125
485,2.401625,2.401625
490,2.400375,2.400375
495,2.39925,2.39925
500,2.3983750000000006,2.3983750000000006
505,2.398125,2.398125
510,2.395375,2.395375
515,2.394625,2.394625
520,2.394625,2.394625
525,2.4145000000000003,2.4145000000000003
530,2.434375,2.434375
535,2.419625,2.419625
540,2.410625,2.410625
545,2.4035,2.4035
550,2.399625,2.399625
555,2.3955,2.3955
560,2.39375,2.39375
565,2.390875,2.390875
570,2.390375,2.390375
575,2.3885,2.3885
580,2.38575,2.38575
585,2.384875,2.384875
590,2.383875,2.383875
595,2.382875,2.382875
600,2.3805,2.3805
605,2.37975,2.37975
610,2.38,2.38
615,2.3775,2.3775
620,2.37675,2.37675
625,2.376375,2.376375
630,2.37475,2.37475
635,2.374125,2.374125
640,2.373,2.373
645,2.372375,2.372375
650,2.37175,2.37175
655,2.36975,2.36975
660,2.368625,2.368625
665,2.368375,2.368375
670,2.366875,2.366875
675,2.3657499999999994,2.3657499999999994
680,2.365125,2.365125
685,2.364375,2.364375
690,2.363625,2.363625
695,2.363625,2.363625
700,2.382375,2.382375
705,2.401125,2.401125
710,2.388625,2.388625
715,2.380625,2.380625
720,2.375,2.375
725,2.3707500000000006,2.3707500000000006
730,2.366875,2.366875
735,2.361875,2.361875
740,2.36,2.36
745,2.359875,2.359875
750,2.356125,2.356125
755,2.35475,2.35475
760,2.354125,2.354125
765,2.35175,2.35175
770,2.351375,2.351375
775,2.350375,2.350375
780,2.34925,2.34925
785,2.348625,2.348625
790,2.347625,2.347625
795,2.346375,2.346375
800,2.344875,2.344875
805,2.34525,2.34525
810,2.3432500000000003,2.3432500000000003
815,2.341625,2.341625
820,2.34575,2.34575
825,2.34025,2.34025
830,2.33925,2.33925
835,2.339,2.339
840,2.337375,2.337375
845,2.336,2.336
850,2.335625,2.335625
855,2.33575,2.33575
860,2.33325,2.33325
865,2.332625,2.332625
870,2.332625,2.332625
875,2.34875,2.34875
880,2.364875,2.364875
885,2.353375,2.353375
890,2.3485,2.3485
895,2.343,2.343
900,2.33875,2.33875
905,2.33675,2.33675
910,2.333125,2.333125
915,2.330375,2.330375
920,2.329625,2.329625
925,2.327375,2.327375
930,2.3255,2.3255
935,2.324625,2.324625
940,2.323,2.323
945,2.320625,2.320625
950,2.320375,2.320375
955,2.31875,2.31875
960,2.316375,2.316375
965,2.315125,2.315125
970,2.313875,2.313875
975,2.3115,2.3115
980,2.310375,2.310375
985,2.309375,2.309375
990,2.3070000000000004,2.3070000000000004
995,2.30825,2.30825
1000,2.30825,2.3152617121040815
1005,2.305375,2.3181117892265317
1010,2.304,2.321335297167301
1015,2.3025,2.3091994079649445
1020,2.301,2.3129196633398528
1025,2.29925,2.3128356043398375
1030,2.2949999999999995,2.2942514744699
1035,2.292125,2.293083737671375
1040,2.29,2.2936715705096717
1045,2.29,2.2975561406016345
1050,2.303375,2.307723282933235
1055,2.31675,2.2987194939553732
1060,2.306,2.303486619085073
1065,2.299375,2.3024441327750678
1070,2.296,2.29442133295536
1075,2.2925,2.300344398260116
1080,2.2898749999999994,2.283405736207962
1085,2.28725,2.2841569812893865
1090,2.28425,2.2775658918917174
1095,2.281625,2.289538175463676
1100,2.278875,2.29424818688631
1105,2.277375,2.2859478118717664
1110,2.275125,2.2880137036144728
1115,2.273,2.2957635695338245
1120,2.2715,2.2787911936342713
1125,2.2695,2.286598108798265
1130,2.268375,2.269357440292835
1135,2.26475,2.26961232471466
1140,2.26375,2.263379839777946
1145,2.261625,2.277857004195451
1150,2.259375,2.2850448867082593
