section,representative_value
0,2.690625
5,2.690625
10,2.62325
15,2.6015
20,2.589625
25,2.57625
30,2.569125
35,2.561375
40,2.561375
45,2.574875
50,2.588375
55,2.561
60,2.5493749999999995
65,2.576
70,2.543
75,2.52775
80,2.523375
85,2.5217499999999995
90,2.516875
95,2.51375
100,2.5115
105,2.50775
110,2.50375
115,2.5005
120,2.499625
125,2.49625
130,2.4987500000000002
135,2.50125
140,2.49675
145,2.494
150,2.490875
155,2.489125
160,2.487375
165,2.4845
170,2.482375
175,2.477875
180,2.476125
185,2.477125
190,2.477125
195,2.4936249999999998
200,2.510125
205,2.494625
210,2.482625
215,2.47425
220,2.4695
225,2.4655
230,2.462875
235,2.459125
240,2.457
245,2.454875
250,2.453125
255,2.451
260,2.4495
265,2.4475
270,2.445
275,2.4425
280,2.44175
285,2.441125
290,2.437625
295,2.436375
300,2.435125
305,2.433875
310,2.4335
315,2.4315
320,2.4305
325,2.428875
330,2.42775
335,2.431
340,2.425125
345,2.423125
350,2.421125
355,2.419125
360,2.419125
365,2.4445
370,2.469875
375,2.45
380,2.438
385,2.42925
390,2.42325
395,2.421
400,2.417125
405,2.41525
410,2.411
415,2.408375
420,2.4075
425,2.4055
430,2.403125
435,2.401875
440,2.399625
445,2.398625
450,2.397625
455,2.395625
460,2.394375
465,2.3935
470,2.39225
475,2.390625
480,2.38925
485,2.388125
490,2.387125
495,2.38575
500,2.384375
505,2.383
510,2.382375
515,2.3815
520,2.380125
525,2.379125
530,2.379125
535,2.42925
540,2.41325
545,2.40425
550,2.396375
555,2.3902499999999995
560,2.386375
565,2.383375
570,2.378375
575,2.377
580,2.375375
585,2.372375
590,2.370375
595,2.369375
600,2.3675
605,2.3655
610,2.364875
615,2.374375
620,2.3595
625,2.3595
630,2.359
635,2.357375
640,2.35675
645,2.356
650,2.354375
655,2.3535
660,2.35225
665,2.350625
670,2.35
675,2.3485
680,2.3473749999999995
685,2.3465
690,2.346
695,2.345375
700,2.360666666666667
705,2.375958333333333
710,2.39125
715,2.377625
720,2.369375
725,2.364625
730,2.359125
735,2.356125
740,2.352125
745,2.34825
750,2.34725
755,2.345875
760,2.3435
765,2.341
770,2.339125
775,2.3375
780,2.336375
785,2.334625
790,2.333375
